timestamp,action,confidence,accuracy,f1,precision,recall,cpu,dram,time
1695570847.2211356,inference,"[[0.5246774866282125, 0.47532251337178777]]",0.0,0.0,0.0,0.0,3017693.0,139953.0,83677.217
1695570848.2208421,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3127861.0,142639.0,85022.091
1695570849.2284243,inference,"[[0.5246774866282125, 0.47532251337178777]]",0.0,0.0,0.0,0.0,3039238.0,141235.0,83436.225
1695570850.2334497,inference,"[[0.5246774866282125, 0.47532251337178777]]",0.0,0.0,0.0,0.0,3028861.0,139465.0,83105.366
1695570851.2384994,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3048759.0,139709.0,83750.808
1695570852.242067,inference,"[[0.5246774866282125, 0.47532251337178777]]",0.0,0.0,0.0,0.0,2998467.0,139465.0,82815.205
1695570853.2677379,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3015862.0,138671.0,83394.05
1695570854.2591295,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3131584.0,144531.0,85096.006
1695570855.2612834,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3100334.0,141052.0,83779.059
1695570856.2651274,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3031120.0,139587.0,82409.721
1695570857.285178,inference,"[[0.5246774866282125, 0.47532251337178777]]",0.0,0.0,0.0,0.0,3088005.0,140381.0,85332.67
1695570858.3204641,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3202262.0,143554.0,87588.167
1695570859.334655,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3048515.0,141540.0,84209.408
1695570860.3165963,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3149956.0,144104.0,87531.472
1695570861.3131146,inference,"[[0.5246774866282125, 0.47532251337178777]]",0.0,0.0,0.0,0.0,3020988.0,138611.0,82945.434
1695570862.338523,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3082085.0,141723.0,84586.994
1695570863.323911,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3026115.0,139771.0,83916.425
1695570864.3315465,inference,"[[0.5246774866282125, 0.47532251337178777]]",0.0,0.0,0.0,0.0,3130180.0,142578.0,85263.55
1695570865.3424642,inference,"[[0.5246774866282125, 0.47532251337178777]]",1.0,0.0,0.0,0.0,3033134.0,140258.0,82207.49
1695571121.9895332,retraining,-1,0.5018656716417911,0.0,0.0,0.0,8466526543.0,579097333.0,238119656.101
1695571166.4620361,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3070182.0,143615.0,86254.801
1695571167.478237,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3437125.0,151245.0,95049.792
1695571168.475314,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3229057.0,147217.0,86789.84
1695571169.488377,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3236259.0,149719.0,86526.289
1695571170.5145023,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3186577.0,147155.0,88198.685
1695571171.5182946,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3198601.0,146362.0,86707.901
1695571172.5814362,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3165337.0,144958.0,88437.961
1695571173.5040896,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3092094.0,142944.0,85089.285
1695571174.514495,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3283561.0,149475.0,88759.63
1695571175.5396566,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3162162.0,149414.0,88467.022
1695571176.5265238,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3096122.0,143005.0,85240.041
1695571177.5483649,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3167777.0,146911.0,88312.222
1695571178.53413,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3110527.0,144409.0,85909.615
1695571179.5573893,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3168937.0,144959.0,86942.011
1695571180.5614552,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3279411.0,148803.0,89037.486
1695571181.5559921,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3072502.0,143921.0,84799.044
1695571182.5651362,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3167839.0,145874.0,86149.678
1695571183.5798497,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3079460.0,142577.0,85247.049
1695571184.603925,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3110405.0,143554.0,86398.268
1695571185.5858371,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3054375.0,142700.0,85241.261
1695571186.5950837,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3126823.0,144348.0,86657.974
1695571187.6041708,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3141838.0,145629.0,86846.578
1695571188.6057415,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3126029.0,143982.0,86012.906
1695571189.6143954,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3108451.0,143676.0,85520.808
1695571190.622656,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3159172.0,146606.0,87855.032
1695571191.6432848,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3845632.0,167907.0,89815.341
1695571192.6565728,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3211784.0,146667.0,88109.28
1695571193.6429546,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3138847.0,143310.0,85711.484
1695571194.6556904,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3294731.0,148865.0,90140.76
1695571195.6566324,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3170219.0,146911.0,86305.499
1695571196.6869712,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3140495.0,146667.0,86855.218
1695571197.6801758,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3127860.0,144958.0,86530.871
1695571198.6818848,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3157341.0,145508.0,87169.342
1695571199.6842914,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3165459.0,147155.0,86874.722
1695571200.6917338,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3162712.0,146362.0,86708.947
1695571201.7030418,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3153007.0,146423.0,86642.09
1695571202.699231,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3122611.0,144287.0,86214.956
1695571203.7097085,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3164665.0,146118.0,86545.933
1695571204.7430208,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3357231.0,153503.0,91307.55
1695571205.7633288,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3359305.0,154358.0,89705.695
1695571206.7397442,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3199577.0,148743.0,88164.89
1695571207.7539215,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3220878.0,152405.0,88315.991
1695571208.7645485,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3373343.0,152710.0,90514.002
1695571209.7508488,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3244377.0,150085.0,87821.951
1695571210.7779818,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3345755.0,153625.0,89689.678
1695571211.7812068,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3594962.0,159362.0,96937.677
1695571212.7862515,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3233024.0,151916.0,89486.813
1695571213.7856932,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3355338.0,152893.0,92120.697
1695571214.7868042,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3289421.0,151428.0,87524.342
1695571215.7964587,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3375601.0,155212.0,90761.047
1695571216.8101144,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3276542.0,152344.0,88448.316
1695571217.8255305,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3283195.0,151794.0,87424.181
1695571218.8112807,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3253226.0,150878.0,87682.476
1695571219.8243513,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3180351.0,149475.0,86202.046
1695571220.8362887,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3338920.0,154235.0,87493.452
1695571221.8337753,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3166435.0,150146.0,86879.522
1695571222.8368444,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3150993.0,149048.0,86425.146
1695571223.855954,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3294547.0,147705.0,87067.991
1695571224.8546267,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3282035.0,150390.0,90153.342
1695571225.88473,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3219719.0,148499.0,88832.112
1695571226.8982046,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3105888.0,145447.0,85957.764
1695571227.892026,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3083122.0,142577.0,85332.51
1695571228.883253,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3115470.0,145507.0,85551.922
1695571229.9029653,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3095024.0,142883.0,85259.036
1695571230.9095402,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3206413.0,144409.0,87266.465
1695571231.946912,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3102409.0,143615.0,85702.793
1695571232.9326603,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3113883.0,143676.0,86152.501
1695571233.9199727,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3137443.0,143616.0,86438.973
1695571234.928948,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3112052.0,143188.0,85683.329
1695571235.9513361,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3151237.0,143920.0,86738.219
1695571236.9379432,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3223625.0,147156.0,88531.914
1695571237.9599037,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3172049.0,145752.0,86621.618
1695571238.9887981,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3110771.0,142761.0,84970.846
1695571239.9684994,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3127007.0,145324.0,86846.229
1695571240.962777,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3136589.0,145385.0,85340.35
1695571242.0313168,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3220146.0,146301.0,87888.356
1695571242.9910655,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3105766.0,143188.0,86079.62
1695571243.9936876,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3194389.0,146423.0,88888.803
1695571245.0107274,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3241935.0,146911.0,89021.858
1695571246.0050688,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3149345.0,144226.0,86231.074
1695571247.0275373,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3218986.0,145202.0,88639.847
1695571248.0806148,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3158561.0,145691.0,87541.93
1695571249.0443306,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3190116.0,145569.0,87675.359
1695571250.031338,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,3126823.0,144042.0,85745.575
1695571251.0358899,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3180961.0,143737.0,85965.468
1695571252.0528727,inference,"[[0.5195731187207853, 0.4804268812792148]]",0.0,0.0,0.0,0.0,4224354.0,182861.0,92769.407
1695571253.0695522,inference,"[[0.5195731187207853, 0.4804268812792148]]",1.0,0.0,0.0,0.0,3188896.0,146789.0,87392.362
